Score,Word
121.0713739927941,aries
122.71856956725502,tares
126.01115555683448,rates
128.13500238357574,aloes
128.17458196736362,tales
131.11850705847309,saner
135.79291732954871,lores
136.37370568181368,roles
137.01081364600506,lanes
139.87925934299759,tears
142.05802563366697,riles
142.80476066846805,earls
143.23204975269317,cares
143.8656814414668,rotes
145.52351590946773,teals
145.57840801735128,toles
146.02550375143193,dares
146.78591015883336,slier
147.06089128452197,tires
147.1126368390487,races
147.52646406990542,tries
147.63324062645776,laser
147.64979914471502,stare
148.04369801900225,nears
149.15177790561913,taser
149.47887994069663,aeons
149.5287906690295,pares
149.76721120694384,slate
150.671984014363,raise
151.05409667251956,dales
151.37496302354052,dates
152.48057678458852,sated
152.9072061302669,hares
153.01054298115963,rites
153.20847037337032,snare
153.5569922251836,rapes
153.69662508429462,lades
154.42392256394157,earns
154.5525648817974,mares
155.08103441722386,leans
155.8247718708376,antes
155.91700827423432,acres
156.10267938281365,stale
156.89995023415293,laces
157.48983852139656,tiles
158.25314040855534,dears
158.35012156830163,aides
160.3863009057132,roues
160.75407567392693,siren
160.8662169144859,reads
160.89490894998605,pales
161.5423856811008,tones
162.10932125739888,rails
162.4059972386719,tapes
162.48726833535773,danes
162.8360717121771,bares
162.87880363326894,lairs
163.06648485655154,deals
163.41425239796797,pates
163.50343614414615,canes
163.58773153425372,hales
163.87870414304803,rages
164.01419127156402,taros
164.09773274234416,arose
165.85402316529235,cores
165.9326938508595,sager
166.02268518923836,males
166.50990224833998,saute
166.67915414378214,orals
166.83085673015572,rials
166.88744214638731,braes
166.897963093277,leads
167.20502719173436,store
167.28224776811726,tames
167.38959484994453,saber
168.0276958018136,notes
168.30421740423532,arise
168.31602263300465,lames
168.38187445411458,rakes
168.61959770420765,cries
168.63621342769812,lures
168.83937884996243,panes
168.94940495385774,liars
168.97476296095223,senor
169.39985151388348,loser
169.8921907588784,mates
169.97495422166017,pears
170.24563317128892,rules
171.15866190011005,reaps
171.23803550604896,fares
171.23986994214985,resat
172.42193391345032,liras
172.58255041384865,terns
172.60968140205173,gales
173.3007697961051,gates
173.34749086851747,solar
173.36265251035127,ureas
173.43073548189807,pores
173.5911058809498,wares
173.95848029435913,roans
173.99992443514657,rices
174.255881899753,tiers
174.40657932666434,least
174.80021666642816,scare
174.80431566384522,lines
174.98725331205162,doles
175.10138864480416,hates
175.1227171715332,hears
175.2406232305713,deans
175.43658505121292,napes
175.50849744090485,manes
175.514097796509,rotas
175.7448878135737,reams
176.35194346686816,safer
176.36940448502563,bates
176.50830843035564,dotes
176.60215072072592,bales
176.6257429121551,reins
177.10166875549652,snore
177.1054640797372,aster
177.48051994429449,stole
177.58655905977125,rents
177.88703352204251,ropes
177.9016431749139,takes
177.96056624788181,cotes
178.0170038086431,lodes
178.0470275844053,pries
178.09983106267674,trues
178.26695823096367,elans
178.34620074601722,dries
178.40754416365345,aisle
178.58005065064376,daces
178.67246193578842,spare
178.71845717850573,acnes
179.11452144572013,mores
179.1913591916627,sarge
179.30915040399665,soled
179.62814188721399,kales
179.7797306621398,later
179.82653606447164,sired
179.90972999607703,steal
180.18680621817188,tails
180.26019968496945,rains
180.2966495703406,tines
180.97601321728956,names
181.5153521096592,peals
181.5835693996775,sabre
181.93071748556932,share
181.93999605927564,hires
182.02780751081687,years
182.0311351987094,gears
182.21042537517317,lakes
182.27432330357965,ielts
182.53675173555155,roads
182.73105288216524,sorta
182.89439646068084,mires
183.05240138800525,peats
183.07270431144389,tarns
183.58066118445385,yores
184.21004222531892,bears
184.38556923751264,rides
184.4839189481541,leaps
184.63162818904294,poles
184.8239496562977,sitar
184.82876516510598,banes
184.93350962579964,ranis
185.02173475711044,raids
185.62429360760567,saree
185.65440904556593,heals
186.3943276314795,wales
186.4722022838945,gores
186.5017210102534,meals
186.50233244702494,nites
186.8516871846521,sonar
186.91839733808965,rants
187.16229271601009,scale
187.2318155256894,ideas
187.3012316125701,stead
