Score,Word
123.61064527889172,aries
125.89865111192125,tares
129.061246810062,rates
131.2340503098797,aloes
132.08494349252643,tales
134.37076193948232,saner
138.6988698505286,lores
139.3182646737149,roles
140.79037550127597,lanes
143.26868392271237,tears
144.89281808239153,riles
145.3813343055049,earls
146.2442581115567,cares
146.88224571636894,rotes
148.5829383886256,dares
149.40503098796938,toles
149.67954794021145,teals
150.03281079110462,races
150.06379876048123,laser
150.60991615020052,tires
151.01421800947867,nears
151.24717462632154,aeons
151.25373678454247,slier
151.896099161502,pares
152.00802041560334,taser
152.01749908858915,tries
152.25154939846882,raise
152.83485235144002,stare
154.61392635800217,dates
154.87750637987605,dales
155.8384979948961,slate
155.93182646737148,rapes
156.27451695224207,hares
156.30404666423624,rites
156.47648559970835,sated
156.98140721837404,mares
157.4374772147284,earns
157.79074006562158,lades
158.3795114837769,snare
158.96536638716734,leans
159.84506015311703,acres
160.1607728764127,antes
160.42471746263215,laces
160.56689755741888,aides
161.31461903025885,roues
161.64637258476122,dears
162.17572001458257,tiles
162.31097338680277,stale
162.82719650018228,siren
163.25665329930732,rails
164.24134159679184,bares
164.24936201239518,reads
164.29347429821362,pales
164.42581115566898,tones
164.77214728399562,lairs
165.15822092599345,taros
165.44841414509662,tapes
165.84578928180824,danes
166.04557054320088,arose
166.1454611738972,rages
166.2030623405031,pates
167.43528982865476,canes
167.89974480495806,deals
168.22566532993073,hales
168.39883339409405,rials
168.54976303317537,sager
168.99307327743347,cores
169.23842508202696,saber
169.82099890630695,braes
169.9744804958075,males
170.00145825738244,saute
170.1414509660955,orals
170.42471746263215,tames
170.51841049945315,senor
170.9639081297849,notes
171.1031717098068,arise
171.15275246080932,liars
171.46773605541378,rakes
171.62741523878964,leads
171.64345606999635,store
172.1407218374043,panes
172.17572001458257,pears
172.2347794385709,lames
172.50419248997449,lures
172.66569449507838,loser
172.79438570907766,mates
172.8592781625957,resat
173.0838497994896,liras
173.1720743711265,cries
173.29566168428727,reaps
174.0466642362377,rules
174.18483412322274,solar
174.87313160772877,fares
175.25628873496171,ureas
175.69631790010936,gales
175.6992344148742,pores
176.1607728764127,gates
176.2242070725483,rotas
176.69121399927087,terns
176.69631790010936,roans
177.23004010207802,rices
177.3634706525702,wares
177.59606270506745,lines
177.71162960262487,tiers
178.0524972657674,reins
178.13160772876412,bates
178.14327378782355,reams
178.541742617572,bales
178.78381334305504,napes
178.85308056872037,least
178.87750637987605,hears
178.95260663507108,hates
179.0678089682829,doles
179.07145461173897,manes
179.69522420707256,deans
179.7965730951513,dotes
180.04374772147284,scare
180.26759022967553,ropes
180.4429456799125,safer
180.5566897557419,mores
180.81006197593877,snore
180.89500546846517,aisle
181.0164053955523,aster
181.24644549763033,takes
181.49726576740795,pries
181.55486693401386,rents
181.65512212905577,dries
181.75282537367846,years
181.9161502005104,cotes
182.01166605905942,sarge
182.01275975209626,rains
182.1458257382428,daces
182.458257382428,stole
182.48851622311338,lodes
182.7808968282902,sired
182.8953700328108,kales
182.9839591687933,trues
183.0933284724754,spare
183.09733868027706,tines
183.1042654028436,elans
183.21655122129056,yores
183.41049945315348,acnes
183.5989792198323,tails
183.91031717098068,sorta
184.03171709806782,gears
184.25628873496171,soled
184.34925264309152,sabre
184.49872402479036,steal
184.62632154575283,names
184.68975574188843,roads
184.81480131243165,later
185.01421800947867,peals
185.14400291651475,mires
185.18957345971563,hires
185.58002187386074,bears
185.6044476850164,peats
185.635435654393,lakes
185.92417061611374,ranis
186.17462632154576,ielts
186.58986511119213,sitar
186.6241341596792,raids
186.82391542107183,rides
186.90740065621583,banes
187.40284360189574,tarns
187.41888443310245,share
187.76266861100984,leaps
187.9216186656945,sonar
188.0827561064528,poles
188.52278527160044,sarin
188.77105359095881,roils
188.9219832300401,gores
189.2139992708713,nites
189.56835581480132,ideas
189.718920889537,loris
190.35800218738606,meals
190.68465184104994,rants
190.69558877141816,bores
190.93000364564347,heals
191.18082391542106,stair
191.2974845060153,rimes
191.43638352169157,runes
191.62595698140723,wales
191.6452788917244,darts
191.87641268683922,teams
191.89719285453882,osier
191.98760481224937,lopes
192.1574917973022,meats
192.2453518045935,fates
192.25446591323367,loans
192.40320816624134,stead
192.43565439300036,doers
192.45606999635436,toads
192.47247539190667,bries
193.00364564345608,holes
193.2548304775793,lards
193.28472475391908,scale
193.62777980313524,spate
193.6777251184834,cites
193.71636893911776,moles
193.94021144732045,cones
194.14327378782355,stile
194.1877506379876,maser
194.26394458621948,tomes
194.26430915056508,spear
194.32628508931828,lyres
194.35545023696682,robes
194.50346336128328,capes
194.58658403208167,tides
194.59059423988333,paces
194.604812249362,shier
194.81006197593877,noels
194.93292016040832,sedan
195.44112285818446,alter
195.7768866204885,sepia
195.8169886985053,rheas
196.19030258840687,iotas
196.19978126139264,shear
196.2595698140722,motes
196.27232956616842,hades
196.38935472110828,orate
196.44112285818446,slyer
196.86729857819904,riots
196.99197958439666,dames
197.12832664965367,parse
197.1403572730587,aegis
197.73386802770688,certs
197.88151658767774,smear
198.10718191760847,raves
198.11046299671892,sober
198.7032446226759,beats
198.78782355085673,fears
198.9784907036092,loads
199.01859278162596,saree
199.09551585854902,roast
199.34050309879694,sited
199.4269048487058,tiros
200.10061975938754,stone
200.21181188479767,piles
200.2344148742253,neaps
200.48632883703974,heros
200.67298578199052,plies
200.7229310973387,lutes
200.72767043383158,wears
200.95442945679912,pairs
201.21509296390812,pones
201.24279985417425,saver
201.25337222019687,risen
201.30659861465548,means
201.31534815895006,heats
201.47101713452423,maces
201.57491797302225,irate
201.6412686839227,cages
201.98869850528618,sable
202.08129784907035,shale
202.30003645643455,nails
202.35690849434926,tyres
202.36529347429823,trios
202.38279256288735,nodes
202.39008384979948,altos
202.43346700692672,fores
202.58184469558879,septa
202.6186656944951,caste
202.68683922712358,sepal
202.72511848341233,salon
203.01348888078746,rotis
203.35071090047393,boles
203.4425811155669,sauce
203.44695588771418,tesol
203.63361283266497,resit
203.75355450236967,score
203.93656580386437,baser
203.9595333576376,loges
204.240247903755,wanes
204.3175355450237,ogres
204.62814436748087,stoep
204.65803864382065,delis
204.67298578199052,miles
204.91505650747357,teaks
205.26759022967553,heirs
205.39044841414508,darns
205.5781990521327,betas
205.6875683558148,paste
205.69485964272695,strep
205.95114837768867,lobes
206.42435289828654,norse
206.44476850164054,stria
207.01859278162596,idles
207.11301494713817,anise
207.40357273058694,razes
207.40357273058694,spore
207.51148377688662,dials
207.53262850893182,oriel
207.56835581480132,limes
207.70944221655122,liens
208.03025884068538,tokes
208.03353991979586,oaten
208.36675173168064,leaks
208.40320816624134,snarl
208.45096609551587,wires
209.34487787094423,euros
209.3955523149836,times
209.54538826102808,celts
209.5833029529712,vales
209.8804228946409,fires
210.2242070725483,hairs
210.36893911775428,beans
210.46700692672258,stern
210.5672621217645,toils
210.62285818446955,rares
210.63069631790012,cures
210.94422165512213,pleas
210.95151294203427,tarsi
211.4177907400656,hones
211.46044476850165,roams
211.5359095880423,shore
211.6193948231863,piers
211.6208530805687,fries
211.84032081662414,skate
211.84578928180824,mites
211.8804228946409,tunes
211.9383886255924,laves
212.12723295661684,tared
212.13889901567626,carts
212.20087495442945,pages
212.50236966824644,biles
212.551950419249,skier
212.64673714910683,spiel
212.7229310973387,spire
212.7232956616843,codes
212.8220925993438,oared
213.1986875683558,caret
213.20634341961357,coats
213.32446226759023,terms
213.3587313160773,poser
213.4010207801677,gapes
213.4633612832665,saint
213.7021509296391,nerds
214.1414509660955,diets
214.3587313160773,stage
214.48559970834853,lieus
214.8395916879329,hoers
214.84214363835216,tacos
214.9639081297849,onces
214.97630331753555,coals
215.02734232592053,meads
215.10499453153483,suite
215.136347065257,learn
215.1607728764127,rends
215.65001822821728,weals
215.68647466277798,bones
215.8745898651112,heads
215.97119941669706,sidle
216.0466642362377,tiler
216.20707254830478,feats
216.35508567262121,bites
216.51877506379876,sower
216.54028436018956,onset
216.78745898651113,slide
216.80459351075464,dines
217.20415603353993,agues
217.37003281079112,shire
217.5103900838498,leafs
217.93656580386437,pines
217.9792198323004,samey
218.0196864746628,fades
218.13343055049216,noise
218.15056507473568,lapse
218.16514764855998,ogles
218.30331753554503,slake
218.7553773240977,cafes
219.06999635435653,horas
219.08421436383523,islet
219.10608822457164,marls
219.13233685745533,rouse
219.1928545388261,parts
219.33722201968646,goers
219.61647830842145,stake
219.75173168064163,acmes
220.0827561064528,rated
220.32847247539192,tarps
220.62923806051768,vanes
220.68793292016042,faces
220.70652570178638,games
220.8169886985053,spade
220.82464454976304,alert
220.85599708348525,rinse
220.9580751002552,dater
220.96901203062342,dents
221.1990521327014,boers
221.25337222019687,moues
221.44950783813343,resin
221.4783084214364,satin
221.70506744440394,orcas
221.8016769959898,paler
221.86729857819904,peons
221.87604812249361,haste
221.99671892088955,cased
222.09077652205613,aired
222.14691943127963,slant
222.1830113014947,boars
222.1983230040102,adios
222.34123222748815,lazes
222.46044476850165,loner
222.5264309150565,fetas
222.5785636164783,beads
222.7185563251914,taxes
222.73131607728763,cater
222.7867298578199,renal
222.8547211082756,sales
222.87021509296392,slice
222.94677360554138,dopes
223.02989427633977,cakes
223.1779074006562,beaus
223.2191031717098,poets
223.2449872402479,lends
223.2865475756471,floes
223.500911410864,biers
223.5997083485235,alien
223.63762304046665,steno
223.65038279256288,swear
223.9642726941305,tends
224.33284724753918,irons
224.44950783813343,wades
224.60918702150929,toner
224.81079110462997,abets
